Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
04/03/1901,67.58,67.58,67.58,67.58
05/03/1901,67.35,67.35,67.35,67.35
06/03/1901,67.39,67.39,67.39,67.39
07/03/1901,67.72,67.72,67.72,67.72
08/03/1901,67.55,67.55,67.55,67.55
11/03/1901,67.48,67.48,67.48,67.48
12/03/1901,67.28,67.28,67.28,67.28
13/03/1901,67.18,67.18,67.18,67.18
14/03/1901,67.54,67.54,67.54,67.54
15/03/1901,67.33,67.33,67.33,67.33
18/03/1901,68.42,68.42,68.42,68.42
19/03/1901,68.73,68.73,68.73,68.73
20/03/1901,68.82,68.82,68.82,68.82
21/03/1901,68.93,68.93,68.93,68.93
22/03/1901,68.92,68.92,68.92,68.92
25/03/1901,68.59,68.59,68.59,68.59
26/03/1901,68.52,68.52,68.52,68.52
27/03/1901,69.27,69.27,69.27,69.27
28/03/1901,69.39,69.39,69.39,69.39
29/03/1901,69.43,69.43,69.43,69.43
01/04/1901,70.91,70.91,70.91,70.91
02/04/1901,71.02,71.02,71.02,71.02
03/04/1901,71.35,71.35,71.35,71.35
04/04/1901,72.01,72.01,72.01,72.01
05/04/1901,72.01,72.01,72.01,72.01
08/04/1901,71.47,71.47,71.47,71.47
09/04/1901,72.51,72.51,72.51,72.51
10/04/1901,73.11,73.11,73.11,73.11
11/04/1901,72.62,72.62,72.62,72.62
12/04/1901,72.88,72.88,72.88,72.88
15/04/1901,75.35,75.35,75.35,75.35
16/04/1901,75.42,75.42,75.42,75.42
17/04/1901,74.88,74.88,74.88,74.88
18/04/1901,75.1,75.1,75.1,75.1
19/04/1901,75.89,75.89,75.89,75.89
22/04/1901,74.56,74.56,74.56,74.56
23/04/1901,73.8,73.8,73.8,73.8
24/04/1901,73.21,73.21,73.21,73.21
25/04/1901,73.63,73.63,73.63,73.63
26/04/1901,74.35,74.35,74.35,74.35
29/04/1901,75.23,75.23,75.23,75.23
30/04/1901,75.8,75.8,75.8,75.8
01/05/1901,75.93,75.93,75.93,75.93
02/05/1901,75.19,75.19,75.19,75.19
03/05/1901,74.37,74.37,74.37,74.37
06/05/1901,75.55,75.55,75.55,75.55
07/05/1901,75.02,75.02,75.02,75.02
08/05/1901,71.72,71.72,71.72,71.72
09/05/1901,67.38,67.38,67.38,67.38
10/05/1901,71.67,71.67,71.67,71.67
13/05/1901,71.92,71.92,71.92,71.92
14/05/1901,69.59,69.59,69.59,69.59
15/05/1901,70.06,70.06,70.06,70.06
16/05/1901,70.84,70.84,70.84,70.84
17/05/1901,73.09,73.09,73.09,73.09
20/05/1901,72.76,72.76,72.76,72.76
21/05/1901,73.44,73.44,73.44,73.44
22/05/1901,73.51,73.51,73.51,73.51
23/05/1901,72.83,72.83,72.83,72.83
24/05/1901,73.73,73.73,73.73,73.73
27/05/1901,73.67,73.67,73.67,73.67
28/05/1901,74.01,74.01,74.01,74.01
29/05/1901,74.51,74.51,74.51,74.51
30/05/1901,74.51,74.51,74.51,74.51
